from,to,path
1,24,58;145;68;0;30;156
1,24,58;145;8;120;30;156
1,24,58;145;55;120;30;156
1,24,58;145;68;111;30;81
1,24,58;145;68;0;30;81
1,24,58;145;8;120;30;81
1,24,58;145;55;120;30;81
1,25,58;145;139;71;44;134;27
1,25,58;145;139;71;44;86;28
1,25,58;145;139;71;44;134;28
1,27,58;145;139;71;44;134
1,28,58;145;139;71;44;134
1,28,58;145;139;71;44;86
1,30,58;145;68;111
1,30,58;145;68;0
1,30,58;145;8;120
1,30,58;145;55;120
1,32,58;145;139;71;44;134;131
1,32,58;145;139;71;44;134;27
1,33,58;145;139;71;44;134;27
1,36,99
1,38,99;36;65;127
1,38,90;125;65;127
1,38,99;125;65;127
1,38,99;36;65;7
1,38,90;125;65;7
1,38,99;125;65;7
1,38,99;36;128;7
1,39,99;36;128;7;56
1,39,99;125;65;7;56
1,39,90;125;65;7;56
1,39,99;36;65;7;56
1,40,58;145;139;71;44;134;49
1,40,58;145;139;71;44;134;47
1,44,58;145;139;71
1,47,58;145;139;71;44;134
1,48,58;145;8;120
1,48,58;145;55;120
1,49,58;145;139;71;44;134
1,50,58;145;8;120
1,50,58;145;55;120
1,51,99;36;128;72
1,55,58;145
1,56,99;36;65;7
1,56,90;125;65;7
1,56,99;125;65;7
1,56,99;36;128;7
1,65,99;36
1,65,90;125
1,65,99;125
1,66,58;145;68;111
1,68,58;145
1,69,58;145
1,71,58;145;139
1,72,99;36;128
1,73,58;145;139
1,73,58;145;69
1,74,58;145;68;146
1,74,58;145;8;120
1,74,58;145;55;120
1,75,58;145;139;71;44;134;131
1,75,58;145;139;71;44;134;49
1,76,58;145;8;120
1,76,58;145;55;120
1,77,58;145;55;120;76
1,77,58;145;8;120;76
1,78,58;145;55;120;88
1,78,58;145;8;120;88
1,78,99;125;65;148;116
1,78,90;125;65;148;116
1,78,99;36;65;148;116
1,78,90;20;119;148;116
1,78,58;20;119;148;116
1,78,99;125;119;148;116
1,78,90;125;119;148;116
1,78,99;125;65;127;116
1,78,90;125;65;127;116
1,78,99;36;65;127;116
1,79,58;145;69
1,80,58;145;68;0;153
1,80,58;145;68;146;153
1,80,58;145;68;0;140
1,80,58;145;55;120;74
1,80,58;145;8;120;74
1,80,58;145;68;146;74
1,80,58;145;55;120;30
1,80,58;145;8;120;30
1,80,58;145;68;0;30
1,80,58;145;68;111;30
1,81,58;145;55;120;30
1,81,58;145;8;120;30
1,81,58;145;68;0;30
1,81,58;145;68;111;30
1,82,58;145;8;120
1,82,58;145;55;120
1,83,58;145;139
1,86,58;145;139;71;44
1,87,99;36;65;7
1,87,90;125;65;7
1,87,99;125;65;7
1,87,99;36;128;7
1,88,58;145;8;120
1,88,58;145;55;120
1,89,99;36;128;72;51
1,89,99;36;128;7;56
1,89,99;125;65;7;56
1,89,90;125;65;7;56
1,89,99;36;65;7;56
1,92,58;145;68;111;66;22;142
1,92,58;145;55;120;30;22;142
1,92,58;145;8;120;30;22;142
1,92,58;145;68;0;30;22;142
1,92,58;145;68;111;30;22;142
1,92,58;145;55;120;30;81;142
1,92,58;145;8;120;30;81;142
1,92,58;145;68;0;30;81;142
1,92,58;145;68;111;30;81;142
1,93,58;145;139;71;44;86;107
1,93,58;145;139;71;44;86;2
1,94,58;145;139;71;44;86;2
